idx,n,m,heur_greedy,heur_ls,exact,gap_exact_minus_ls,status,solve_time_sec,graph6
171,30,84,22,24,24,0,OPTIMAL,6.1983,]~sWG[F?{QQp_B?rA__g@F??W??O?W??[O?HC??W???a??BC?@@??@O_??gG??Ay???EC???FO
172,30,84,22,24,24,0,OPTIMAL,3.1676,]~uOWkF@giBW`_A__OWCD?_K??wC?sOEAS??D??G_?@a??D???J???Ho_?CCG??@_???K????w
173,30,84,23,24,24,0,OPTIMAL,3.1342,]|m[kKwC??_B?B?C_AW?l_EqO?G_?W??[??F??@W?_SA??PCC?B?C?A_??@^????_EA?CoO??W
174,30,84,25,25,25,0,OPTIMAL,0.6475,]}mZrD`E_ob@A@C?_?w_JC@CWB?Oo?OOCQO?C_?G_?@a??B?_?K?_?GiO??E_???c???EO???G
175,30,84,24,26,26,0,OPTIMAL,0.1143,]~tYiCR?W`iB?T?D_AW?d?Cc?QG?b?AK@@C@?@?W??Bg?_C?@?H?O?WGW???E??@P_??@A???G
176,30,84,23,24,24,0,OPTIMAL,2.6523,]~tWw[FTCOO@?B?A_@W?Q?AC?HG?AW??[?@Y??EGOO_?@A@??CAE?CAq?y?K_??@C???KO???W
177,30,84,24,25,25,0,OPTIMAL,0.5684,]|KWGCB?oAaOC`C@a?gkC@_CA?WC?WC?gA?PC?cF???D{?@_??B???Bo??@S_??KC??@CR[?CG
178,30,84,24,24,24,0,OPTIMAL,3.8766,]|[wqVBoM?oB_B_@oA??h_@MQ_C_?G_?G??@C_?WC?G_O?`?_?B??@]???KG??B@???GW???@g
179,30,84,23,25,25,0,OPTIMAL,0.5486,]|KzPSJO`Ck@OFo_OOK?B??[Y??C@GC?KA?B?_?W?@K??CP_?HA_?@?q??_G_?G@C?@?CI?C??
180,30,84,23,25,25,0,OPTIMAL,2.5485,]~cGWsJAgPawS@S?a?Y?C?@cCC??GW?GS??E??AgW?X`_?@A??BA??Ap??@C???P_???N??WGO
181,30,84,24,25,25,0,OPTIMAL,1.7370,]{kxXLcTGH_b_C?C_?G?b?CK?Og?_Y?_H??do?wGg_?AAO??C_@C?_@Q?O?K?C?@??_?M????o
182,30,84,20,23,23,0,OPTIMAL,23.3208,]|KG{kC@[As@g@_@_E??p?BC??w?GW?HK??F?GGO?GA_?_BJH?DM???Y???C_??@[???H????g
183,30,84,22,24,24,0,OPTIMAL,4.0318,]~vMKIH?OA_LAF?H`CG@BA?w?O??cG??K??B??_g?CC`?OM??_DBC@P@???g??BG@S??O@O??G
184,30,84,23,24,24,0,OPTIMAL,3.8242,]~u[kIB_[@?D?L?H_As?x_CEA_?F??K?CD?B?O?GA??_G?P?O?B???n???@g???R???AKD??_?
185,30,84,25,26,26,0,OPTIMAL,0.2098,]~d][oXCWaaHCPC@_?w?J?@S?@W?AW?IOOK?CA?Ka??Q??@_??B???B_??@W???F_??@a@??G?
186,30,84,26,26,26,0,OPTIMAL,0.1631,]|[}UCYCGDoRCCCC_Ao?dc@iO?G_?W_?M??Kc?@?_?Ga??`??@E_??CQ??A?_??`C??CE???P_
187,30,84,23,24,24,0,OPTIMAL,9.1136,]~KGwGFCgBaJ?F?E_@W?qCP?O?K_?L??M??Bg??OI?YD_?Hc???S???i???I???Eo???c???AW
188,30,84,26,26,26,0,OPTIMAL,0.3286,]|M\X_pCX@?DCHC@a?h_XGAC_g@@?G@?K`_?C??Ba??w??@c??F_??@_???{_??CC??C_O??AG
189,30,84,25,26,26,0,OPTIMAL,0.6261,]~vMMCA_gD_F_C_?_?O@c?Gc?Ag?@W??[?_i??Ag??Poo[??g?@?g??_C??o@??D?G??c?__c_
190,30,84,24,24,24,0,OPTIMAL,6.3161,]~t[osXAO@_B?T?@??g?L?OK?AWACWABO@l@?@OG?I?_?_B?@?D?@OA?D?C?@?@@AM???GO??G
191,30,84,25,25,25,0,OPTIMAL,2.6895,]|SGG[FBOuE@K@C@_?w_E??sO@PCW@?GC_?BG_?_K??c_?BZ??@u???B???K_??AC???UO???O
192,30,84,23,25,25,0,OPTIMAL,1.5165,]~tI[GDPI@wLOBbO@_GGB??W??w?@g??w?@P??CW??B_?HK???X???W_??Co?BO???W?C?@_?G
193,30,84,24,25,25,0,OPTIMAL,1.8295,]|eWgMDc{_aoE?E?`?SO@_?E??N??D_Dw_?B???w??B_??U???h???g_??CW??@B???gQ??BO?
194,30,84,24,24,24,0,OPTIMAL,5.4684,]|kPhdaoGL_T?b?a_PG?R_E?CG??OW?OMS?M??Ak??@???@??@G??@__??SW_?@W???BEO??KO
195,30,84,20,23,23,0,TIMEOUT,30.0003,]|CWxgdXIWo@OBo@q?_OXE?C??W?@g_@C??M???g??C_??XC??^C??G_??@o???XC?AGO??G_G
196,30,84,25,25,25,0,OPTIMAL,1.3365,]~cGwkPCI_xno@?F?AkOGa?CG?WOGc?GA??P_??[??`O?A@??CW???O???GW??_F?@COS?CO?G
197,30,84,25,25,25,0,OPTIMAL,1.3727,]~TWwlSR?o?@?@?@a@W?X?@[??w?@g?@K??qc?GC?L?_?C@???F??GDx@_@E???@_???M???G_
198,30,84,23,24,24,0,OPTIMAL,7.6644,]|lq_lFSe_q?C@CAo@{?P?AK?GW?F??BC??b???w??B_?s?_@G?_?G?_?C?W???F????[??_@_
199,30,84,24,25,25,0,OPTIMAL,1.2984,]|^]KKFd?_aa@D?FA?g?J??[??w?P??@C??@??GW??B_?KE??GD?AOx?@?OG?PC?C?G?COG??W
